id,lane,status,category,subject,path,line,risk,loc,bytes,evidence,proof,expected
NUM-001,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/elements/element-showroom.tsx:32,app/elements/element-showroom.tsx,32,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-002,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/elements/element-showroom.tsx:52,app/elements/element-showroom.tsx,52,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-003,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/elements/page.tsx:16,app/elements/page.tsx,16,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-005,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/kit/component-preview.tsx:298,app/kit/component-preview.tsx,298,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-006,Numbers,UNPROVEN,potential-zero-divisor,potential-zero-divisor at app/kit/component-preview.tsx:324,app/kit/component-preview.tsx,324,medium,0,0,Division or remainder depends on a value whose zero/non-finite range should be established.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-008,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/kit/jade/jade-experience.tsx:241,app/kit/jade/jade-experience.tsx,241,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-007,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/kit/jade/jade-experience.tsx:94,app/kit/jade/jade-experience.tsx,94,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-010,Numbers,UNPROVEN,potential-zero-divisor,potential-zero-divisor at app/kit/kit-experience.tsx:165,app/kit/kit-experience.tsx,165,medium,0,0,Division or remainder depends on a value whose zero/non-finite range should be established.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-011,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/kit/kit-experience.tsx:202,app/kit/kit-experience.tsx,202,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-012,Numbers,UNPROVEN,potential-zero-divisor,potential-zero-divisor at app/kit/kit-experience.tsx:202,app/kit/kit-experience.tsx,202,medium,0,0,Division or remainder depends on a value whose zero/non-finite range should be established.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-009,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/kit/kit-experience.tsx:42,app/kit/kit-experience.tsx,42,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-013,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/kit/os/os-workbench.tsx:13,app/kit/os/os-workbench.tsx,13,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-014,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/kit/os/os-workbench.tsx:18,app/kit/os/os-workbench.tsx,18,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-015,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/labs/creative-labs.tsx:28,app/labs/creative-labs.tsx,28,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-016,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/labs/theme-workshop.tsx:141,app/labs/theme-workshop.tsx,141,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-019,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/preview/page.tsx:22,app/preview/page.tsx,22,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-020,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/preview/preview-experience.tsx:13,app/preview/preview-experience.tsx,13,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
NUM-021,Numbers,UNPROVEN,potential-index-boundary,potential-index-boundary at app/projects/projects-room.tsx:45,app/projects/projects-room.tsx,45,medium,0,0,An indexed read or write may need integer and bounds evidence.,Syntax discovery only; numeric range or behavioral proof is required.,
